image,pattern,psnr
0064x2.png,random,25.73891
0064x2.png,legendre,24.898235
0065x2.png,box,24.624985
0065x2.png,random,24.419939
0065x2.png,legendre,25.401901
0066x2.png,box,21.19296
0066x2.png,random,21.996738
0066x2.png,legendre,22.185871
0067x2.png,box,23.115364
0067x2.png,random,22.24828
0067x2.png,legendre,23.611172
0068x2.png,box,21.988295
0068x2.png,random,21.516384
0068x2.png,legendre,21.228733
0069x2.png,box,20.528797
0069x2.png,random,24.562431
0069x2.png,legendre,22.050865
0070x2.png,box,21.583384
0070x2.png,random,21.704714
0070x2.png,legendre,21.874151
0071x2.png,box,21.354504
0071x2.png,random,21.032686
0071x2.png,legendre,22.181313
0072x2.png,box,23.15528
0072x2.png,random,22.489838
0072x2.png,legendre,22.578009
0073x2.png,box,21.377712
0073x2.png,random,20.961155
0073x2.png,legendre,21.546345
0074x2.png,box,21.881943
0074x2.png,random,23.298267
0074x2.png,legendre,21.850054
0075x2.png,box,20.267082
0075x2.png,random,22.283588
0075x2.png,legendre,21.188225
0076x2.png,box,25.061857
0076x2.png,random,25.804462
0076x2.png,legendre,25.51619
0077x2.png,box,23.602142
0077x2.png,random,22.910822
0077x2.png,legendre,22.610369
0078x2.png,box,21.153519
0078x2.png,random,22.325365
0078x2.png,legendre,22.258682
0079x2.png,box,23.96502
0079x2.png,random,22.98425
0079x2.png,legendre,23.424126
0080x2.png,box,22.440704
0080x2.png,random,21.996674
0080x2.png,legendre,22.133713
0081x2.png,box,22.176907
0081x2.png,random,23.12317
0081x2.png,legendre,23.998924
0082x2.png,box,20.600918
0082x2.png,random,20.922
0082x2.png,legendre,21.8711
0083x2.png,box,22.280296
0083x2.png,random,22.627487
0083x2.png,legendre,22.151375
0084x2.png,box,23.039486
0084x2.png,random,23.103619
0084x2.png,legendre,22.388697
0085x2.png,box,21.876945
0085x2.png,random,22.75759
0085x2.png,legendre,21.745121
0086x2.png,box,22.652843
0086x2.png,random,23.471115
0086x2.png,legendre,23.261917
0087x2.png,box,22.698494
0087x2.png,random,22.128136
0087x2.png,legendre,22.391558
0088x2.png,box,20.311806
0088x2.png,random,22.458878
0088x2.png,legendre,22.534641
0089x2.png,box,21.332565
0089x2.png,random,21.488745
0089x2.png,legendre,21.808155
0090x2.png,box,21.049192
0090x2.png,random,21.792166
0090x2.png,legendre,21.725561
0091x2.png,box,22.686993
0091x2.png,random,21.314224
0091x2.png,legendre,21.83923
0092x2.png,box,21.807968
0092x2.png,random,21.703043
0092x2.png,legendre,20.94318
0093x2.png,box,21.153887
0093x2.png,random,22.679176
0093x2.png,legendre,22.785952
0094x2.png,box,19.979786
0094x2.png,random,20.56285
0094x2.png,legendre,23.162956
0095x2.png,box,23.139116
0095x2.png,random,22.289371
0095x2.png,legendre,22.814129
0096x2.png,box,21.359245
0096x2.png,random,21.251926
0096x2.png,legendre,23.483837
0097x2.png,box,21.70759
0097x2.png,random,21.885489
0097x2.png,legendre,23.2784
0098x2.png,box,21.879148
0098x2.png,random,21.947418
0098x2.png,legendre,23.1201
0099x2.png,box,20.841064
0099x2.png,random,22.346134
0099x2.png,legendre,22.394495
0100x2.png,box,23.839752
0100x2.png,random,25.147533
0100x2.png,legendre,23.900166
0101x2.png,box,25.752161
0101x2.png,random,26.105057
0101x2.png,legendre,27.108952
0102x2.png,box,22.420588
0102x2.png,random,22.833992
0102x2.png,legendre,22.958467
0103x2.png,box,22.304182
0103x2.png,random,22.24224
0103x2.png,legendre,22.41091
0104x2.png,box,23.981335
0104x2.png,random,25.142445
0104x2.png,legendre,24.555962
0105x2.png,box,22.085485
0105x2.png,random,22.10548
0105x2.png,legendre,21.6544
0106x2.png,box,22.397451
0106x2.png,random,22.218172
0106x2.png,legendre,21.335543
0107x2.png,box,21.32476
0107x2.png,random,21.760712
0107x2.png,legendre,22.312855
0108x2.png,box,21.404583
0108x2.png,random,23.476036
0108x2.png,legendre,23.040257
0109x2.png,box,25.6008
0109x2.png,random,27.311592
0109x2.png,legendre,26.950344
0110x2.png,box,22.67749
0110x2.png,random,23.633928
0110x2.png,legendre,23.622053
0111x2.png,box,21.148811
0111x2.png,random,22.24037
0111x2.png,legendre,22.641888
0112x2.png,box,25.35115
0112x2.png,random,25.006037
0112x2.png,legendre,25.696299
0113x2.png,box,22.5478
0113x2.png,random,23.0736
0113x2.png,legendre,23.098438
0114x2.png,box,22.118788
